PostalCode,BurglaryRate,Neighborhood
3194,0.487804878,Mentone
3754,0.666666667,Mernda
3206,1.136363636,Middle Park
3082,0.819672131,Mill Park
3132,0.684931507,Mitcham
3793,0.917431193,Monbulk
3129,1.01010101,Mont Albert North
3127,0.578034682,Mont Albert
3094,0.709219858,Montmorency
3765,0.763358779,Montrose
3039,0.632911392,Moonee Ponds
3194,0.487804878,Moorabbin Airport
3189,0.649350649,Moorabbin
3933,1.298701299,Moorooduc
3138,0.434782609,Mooroolbark
3195,0.735294118,Mordialloc
3931,0.689655172,Mornington
3930,0.561797753,Mount Eliza
3796,0.284900285,Mount Evelyn
3934,0.591715976,Mount Martha
3149,0.632911392,Mount Waverley
3170,0.862068966,Mulgrave
3163,0.617283951,Murrumbeena
3804,0.952380952,Narre Warren East
3804,0.952380952,Narre Warren North
3805,0.657894737,Narre Warren South
3804,0.952380952,Narre Warren
3015,0.609756098,Newport
3042,0.714285714,Niddrie
3174,1.176470588,Noble Park North
3174,1.176470588,Noble Park
3051,0.746268657,North Melbourne
3113,0.826446281,North Warrandyte
3070,1.041666667,Northcote
3168,1.333333333,Notting Hill
3131,0.574712644,Nunawading
3046,1.234567901,Oak Park
3063,1.052631579,Oaklands Junction
3166,0.980392157,Oakleigh East
3167,0.757575758,Oakleigh South
3166,0.980392157,Oakleigh
3809,1.351351351,Officer
3788,1.25,Olinda
3204,0.806451613,Ormond
3810,0.746268657,Pakenham
3114,1.538461538,Park Orchards
3195,0.735294118,Parkdale
3052,1.030927835,Parkville
3044,0.746268657,Pascoe Vale South
3044,0.746268657,Pascoe Vale
3792,0.296735905,The Patch
3197,1.204819277,Patterson Lakes
3912,0.680272109,Pearcedale
3037,0.909090909,Plumpton
3030,0.952380952,Point Cook
3207,1.041666667,Port Melbourne
3944,1.351351351,Portsea
3181,1.063829787,Prahran
3072,1.333333333,Preston
3054,1.041666667,Princes Hill
3095,0.67114094,Research
3073,0.980392157,Reservoir
3121,0.854700855,Richmond
3135,0.826446281,Ringwood East
3134,0.699300699,Ringwood North
3134,0.699300699,Ringwood
3185,0.78125,Ripponlea
3335,8.333333333,Rockbank
3084,0.961538462,Rosanna
3939,1.538461538,Rosebud
3178,0.689655172,Rowville
3064,1.020408163,Roxburgh Park
3941,1.25,Rye
3936,0.952380952,Safety Beach
3021,1.612903226,St Albans
3941,1.25,St Andrews Beach
3183,0.763358779,St Kilda East
3182,1.315789474,St Kilda West
3182,1.315789474,St Kilda
3191,1,Sandringham
3179,0.99009901,Scoresby
3028,0.003289474,Seabrook
3198,1.351351351,Seaford
3018,0.735294118,Seaholme
3011,0.81300813,Seddon
3159,0.78125,Selby
3977,1.162790698,Skye
3062,safe',Somerton
3912,0.680272109,Somerville
3943,0.769230769,Sorrento
3015,0.609756098,South Kingsville
3205,1.587301587,South Melbourne
3752,0.636942675,South Morang
